,vehicle_speed,steering,throttle,left_signal,right_signal,signal
0,14.74,191.9000000000001,55,0,0,0
1,14.63,206.4000000000001,125,0,0,0
2,15.19,206.29999999999973,158,1,0,0
3,16.1,192.29999999999973,182,1,0,0
4,17.240000000000002,120.09999999999991,202,0,0,0
5,18.42,41.90000000000009,192,0,0,0
6,19.61,3.299999999999727,175,0,0,0
7,20.42,-0.599999999999909,140,0,0,0
8,21.13,-1.0,42,0,0,0
9,21.0,-1.0,0,0,0,0
10,20.42,-0.7000000000002728,0,0,1,2
11,19.7,0.5,0,0,0,2
12,18.87,-4.099999999999909,0,0,1,2
13,17.990000000000002,-6.0,0,0,1,2
14,17.04,-20.200000000000273,0,0,0,2
15,16.080000000000002,-26.300000000000182,0,0,0,2
16,15.18,-27.90000000000009,1,0,1,2
17,14.530000000000001,-28.40000000000009,57,0,1,2
18,14.530000000000001,-27.5,107,0,0,0
19,15.120000000000001,-16.59999999999991,120,0,0,0
20,15.85,-0.3000000000001819,127,0,0,0
21,16.69,19.699999999999818,164,0,0,0
22,17.77,30.0,180,1,0,0
23,18.900000000000002,37.19999999999982,180,1,0,0
24,19.96,36.5,180,0,0,0
25,20.94,13.299999999999727,159,0,0,0
26,21.84,4.400000000000091,130,0,0,0
27,22.38,2.199999999999818,102,0,0,0
28,22.68,2.299999999999727,63,1,0,0
29,22.62,8.599999999999909,55,1,0,0
30,22.57,5.099999999999909,115,0,0,0
31,22.900000000000002,9.0,76,0,0,0
32,22.92,8.900000000000091,53,1,0,0
33,22.73,11.699999999999818,50,1,0,0
34,22.51,19.59999999999991,53,0,0,0
35,22.22,15.699999999999818,63,0,0,0
36,22.05,1.5,66,1,0,0
37,21.91,-6.700000000000273,138,1,0,0
38,22.44,-18.800000000000182,161,0,0,0
39,23.12,-44.40000000000009,149,0,0,0
0,9.97,76.29999999999973,105,0,0,0
1,11.11,89.19999999999982,35,1,0,0
2,11.59,91.69999999999982,3,1,0,0
3,11.51,122.5,0,0,0,0
4,11.36,150.19999999999982,0,0,0,0
5,11.08,186.0999999999999,30,1,0,0
6,11.07,219.9000000000001,78,1,0,0
7,11.65,222.0999999999999,136,0,0,0
8,12.81,224.69999999999982,136,0,0,0
9,14.19,212.5999999999999,162,1,0,0
10,15.56,138.0,189,0,0,0
11,17.28,68.09999999999991,250,0,0,0
12,19.42,21.5,260,0,0,0
13,21.490000000000002,0.599999999999909,260,0,0,0
14,23.330000000000002,-1.2000000000002728,247,0,1,2
15,25.36,-3.300000000000182,208,0,1,2
16,26.740000000000002,-3.700000000000273,184,0,0,2
17,27.28,-3.099999999999909,34,0,0,2
