,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake,futur_speed
0,scene-0061,1532402927647951,1532402928127800,vehicle_info,ca9a282c9e77460f8360f564131a8af5,"[411.304, 1180.89, 0.0]","[411.304, 1180.89, 0.0]",99.0,3.0,31.44,0,0,0,0,30.73
1,scene-0061,1532402927647951,1532402928127800,a60047adc78a4b6895702e86b6d2fe88,b7cbc6d0e80e4dfda7164871ece6cb71,"[411.304, 1180.89, 0.0]","[388.978, 1139.303, 0.98]",47.211,3.0,31.44,0,0,0,0,30.73
2,scene-0061,1532402927647951,1532402928127800,e3c5b72c12c34c85aac247734ad83bef,91cb8f15ed4444e99470d43515e50c1d,"[411.304, 1180.89, 0.0]","[398.565, 1110.043, 1.788]",72.006,3.0,31.44,0,0,0,0,30.73
3,scene-0061,1532402927647951,1532402928127800,42641eb6adcb4f8f8def8ef129d9e843,a6f7d4bb60374f868144c5ba4431bf4c,"[411.304, 1180.89, 0.0]","[360.932, 1129.086, 0.585]",72.259,3.0,31.44,0,0,0,0,30.73
4,scene-0061,1532402927647951,1532402928127800,85246a44cc6340509e3882e2ff088391,cda0a9085607438c9b1ea87f4360dd64,"[411.304, 1180.89, 0.0]","[394.039, 1143.246, 0.615]",41.419,3.0,31.44,0,0,0,0,30.73
5,scene-0061,1532402927647951,1532402928127800,c1958768d48640948f6053d04cffd35b,49f76277d07541c5a584aa14c9d28754,"[411.304, 1180.89, 0.0]","[399.863, 1143.574, 0.738]",39.038,3.0,31.44,0,0,0,0,30.73
6,scene-0061,1532402927647951,1532402928127800,56a71c208ac6472f90b6a82529a6ce61,74986f1604f047b6925d409915265bf7,"[411.304, 1180.89, 0.0]","[392.077, 1104.169, 1.034]",79.101,3.0,31.44,0,0,0,0,30.73
7,scene-0061,1532402927647951,1532402928127800,e91afa15647c4c4994f19aeb302c7179,83d881a6b3d94ef3a3bc3b585cc514f8,"[411.304, 1180.89, 0.0]","[409.989, 1164.099, 1.623]",16.921,3.0,31.44,0,0,0,0,30.73
8,scene-0061,1532402927647951,1532402928127800,bc38961ca0ac4b14ab90e547ba79fbb6,16140fbf143d4e26a4a7613cbd3aa0e8,"[411.304, 1180.89, 0.0]","[393.357, 1149.173, 0.741]",36.45,3.0,31.44,0,0,0,0,30.73
9,scene-0061,1532402927647951,1532402928127800,f4b2632a2f9947da9f7959a3bd0e322c,36d52dfedd764b27863375543c965376,"[411.304, 1180.89, 0.0]","[372.664, 1129.247, 0.672]",64.502,3.0,31.44,0,0,0,0,30.73
10,scene-0061,1532402927647951,1532402928127800,bd26c2cdb22d4bb1834e808c89128898,924ee6ac1fed440a9d9e3720aac635a0,"[411.304, 1180.89, 0.0]","[353.794, 1132.355, 0.602]",75.256,3.0,31.44,0,0,0,0,30.73
11,scene-0061,1532402927647951,1532402928127800,4080c30aa7104d91ad005a50b18f6108,26fb370c13f844de9d1830f6176ebab6,"[411.304, 1180.89, 0.0]","[351.068, 1126.367, 0.62]",81.25,3.0,31.44,0,0,0,0,30.73
12,scene-0061,1532402928147847,1532402928627159,86ed8530809d4b1b8fbc53808f599339,c5774936c46742ce9ef427016bc3ac6e,"[409.743, 1176.677, 0.0]","[360.095, 1122.376, 0.7]",73.58,3.5,30.73,0,0,0,0,29.45
13,scene-0061,1532402928147847,1532402928627159,4005437c730645c2b628dc1da999e06a,efd7920348664b34a0b213698e480e21,"[409.743, 1176.677, 0.0]","[378.211, 1107.204, 0.928]",76.3,3.5,30.73,0,0,0,0,29.45
14,scene-0061,1532402928147847,1532402928627159,vehicle_info,39586f9d59004284a7114a68825e8eec,"[409.743, 1176.677, 0.0]","[409.743, 1176.677, 0.0]",99.0,3.5,30.73,0,0,0,0,29.45
15,scene-0061,1532402928147847,1532402928627159,4080c30aa7104d91ad005a50b18f6108,4fb160492de64e00b76f4e316c19cb1c,"[409.743, 1176.677, 0.0]","[350.956, 1126.412, 0.812]",77.351,3.5,30.73,0,0,0,0,29.45
16,scene-0061,1532402928147847,1532402928627159,56a71c208ac6472f90b6a82529a6ce61,7e077a909fda478caedde939b6114202,"[409.743, 1176.677, 0.0]","[392.077, 1104.169, 1.068]",74.637,3.5,30.73,0,0,0,0,29.45
17,scene-0061,1532402928147847,1532402928627159,a60047adc78a4b6895702e86b6d2fe88,bc6607bc76414e45bbfd3c4d7e0f9b75,"[409.743, 1176.677, 0.0]","[388.28, 1137.846, 0.98]",44.379,3.5,30.73,0,0,0,0,29.45
18,scene-0061,1532402928147847,1532402928627159,bc38961ca0ac4b14ab90e547ba79fbb6,a286c9633fa34da5b978758f348996b0,"[409.743, 1176.677, 0.0]","[392.945, 1148.426, 0.766]",32.877,3.5,30.73,0,0,0,0,29.45
19,scene-0061,1532402928147847,1532402928627159,42641eb6adcb4f8f8def8ef129d9e843,6bd43869a39842d5860364b5274d011f,"[409.743, 1176.677, 0.0]","[360.932, 1129.086, 0.585]",68.175,3.5,30.73,0,0,0,0,29.45
20,scene-0061,1532402928147847,1532402928627159,c1958768d48640948f6053d04cffd35b,ae589a5a2bdb4813ae8021cd51b7e6eb,"[409.743, 1176.677, 0.0]","[398.996, 1141.132, 0.738]",37.142,3.5,30.73,0,0,0,0,29.45
21,scene-0061,1532402928147847,1532402928627159,e3c5b72c12c34c85aac247734ad83bef,787ce4c9d8e840d399c390e259fa62d4,"[409.743, 1176.677, 0.0]","[398.565, 1110.043, 1.788]",67.589,3.5,30.73,0,0,0,0,29.45
22,scene-0061,1532402928147847,1532402928627159,f4b2632a2f9947da9f7959a3bd0e322c,86214ec54d034a839ee1f400719d49b2,"[409.743, 1176.677, 0.0]","[372.664, 1129.247, 0.747]",60.208,3.5,30.73,0,0,0,0,29.45
23,scene-0061,1532402928147847,1532402928627159,85246a44cc6340509e3882e2ff088391,148b3b0a63434e8d8dd0c2b56dcc4fa5,"[409.743, 1176.677, 0.0]","[391.841, 1138.065, 0.615]",42.565,3.5,30.73,0,0,0,0,29.45
24,scene-0061,1532402928147847,1532402928627159,e91afa15647c4c4994f19aeb302c7179,f3721bdfd7ee4fd2a4f94874286df471,"[409.743, 1176.677, 0.0]","[409.998, 1164.084, 1.623]",12.7,3.5,30.73,0,0,0,0,29.45
25,scene-0061,1532402928147847,1532402928627159,bd26c2cdb22d4bb1834e808c89128898,f0cbd9dbafd74e20bcf6dd0357c97f59,"[409.743, 1176.677, 0.0]","[353.776, 1132.363, 0.622]",71.389,3.5,30.73,0,0,0,0,29.45
26,scene-0061,1532402928698048,1532402929127810,vehicle_info,356d81f38dd9473ba590f39e266f54e5,"[408.102, 1172.152, 0.0]","[408.102, 1172.152, 0.0]",99.0,3.6,29.45,0,0,0,0,28.09
27,scene-0061,1532402928698048,1532402929127810,42641eb6adcb4f8f8def8ef129d9e843,d5e36e39ff0b4426af8bc9e3e3464057,"[408.102, 1172.152, 0.0]","[360.919, 1129.055, 0.668]",63.906,3.6,29.45,0,0,0,0,28.09
28,scene-0061,1532402928698048,1532402929127810,e3c5b72c12c34c85aac247734ad83bef,47d5be98501a4378ae19c808a04360e6,"[408.102, 1172.152, 0.0]","[398.565, 1110.043, 1.788]",62.862,3.6,29.45,0,0,0,0,28.09
29,scene-0061,1532402928698048,1532402929127810,bc38961ca0ac4b14ab90e547ba79fbb6,b41e15b89fd44709b439de95dd723617,"[408.102, 1172.152, 0.0]","[392.836, 1148.208, 0.791]",28.407,3.6,29.45,0,0,0,0,28.09
30,scene-0061,1532402928698048,1532402929127810,e91afa15647c4c4994f19aeb302c7179,3b1c9f82380a4ecdaf43febdfdbcc0a8,"[408.102, 1172.152, 0.0]","[410.007, 1164.069, 1.623]",8.461,3.6,29.45,0,0,0,0,28.09
31,scene-0061,1532402928698048,1532402929127810,86ed8530809d4b1b8fbc53808f599339,4be63266852547f8a9c590f7a9641ed4,"[408.102, 1172.152, 0.0]","[360.061, 1122.39, 0.773]",69.172,3.6,29.45,0,0,0,0,28.09
32,scene-0061,1532402928698048,1532402929127810,f4b2632a2f9947da9f7959a3bd0e322c,d48d02b79fa3450c84803e29acd9ad04,"[408.102, 1172.152, 0.0]","[372.664, 1129.247, 0.822]",55.654,3.6,29.45,0,0,0,0,28.09
33,scene-0061,1532402928698048,1532402929127810,85246a44cc6340509e3882e2ff088391,7b44cbfc82394b45854ee0cd5289d374,"[408.102, 1172.152, 0.0]","[389.353, 1132.372, 0.64]",43.981,3.6,29.45,0,0,0,0,28.09
34,scene-0061,1532402928698048,1532402929127810,4080c30aa7104d91ad005a50b18f6108,1f93e64f85dd475d9e74ea3b2fa4f8a1,"[408.102, 1172.152, 0.0]","[350.85, 1126.454, 0.846]",73.258,3.6,29.45,0,0,0,0,28.09
35,scene-0061,1532402928698048,1532402929127810,c1958768d48640948f6053d04cffd35b,e7a2133afb9c4c9b834225cc959d475a,"[408.102, 1172.152, 0.0]","[398.116, 1138.632, 0.738]",34.983,3.6,29.45,0,0,0,0,28.09
36,scene-0061,1532402928698048,1532402929127810,a60047adc78a4b6895702e86b6d2fe88,5fad75a2e7384dc7bb8a51e86c619db8,"[408.102, 1172.152, 0.0]","[387.375, 1135.941, 0.98]",41.735,3.6,29.45,0,0,0,0,28.09
37,scene-0061,1532402928698048,1532402929127810,56a71c208ac6472f90b6a82529a6ce61,b6fe223733fd4f0a8729a4b723a34693,"[408.102, 1172.152, 0.0]","[392.077, 1104.169, 1.102]",69.854,3.6,29.45,0,0,0,0,28.09
38,scene-0061,1532402928698048,1532402929127810,4005437c730645c2b628dc1da999e06a,46f5d38808724d6d99f8e1d38e416eb1,"[408.102, 1172.152, 0.0]","[376.632, 1103.552, 0.903]",75.479,3.6,29.45,0,0,0,0,28.09
39,scene-0061,1532402928698048,1532402929127810,4b77b9d062f547a5a3cfe21ac661ea9a,3d79d7c4d2734de09299dd8abeab0ad3,"[408.102, 1172.152, 0.0]","[401.232, 1096.606, 2.299]",75.892,3.6,29.45,0,0,0,0,28.09
