,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake,futur_speed,distance_1,ego_speed_1,d_diff_1,s_diff_1,distance_2,ego_speed_2,d_diff_2,s_diff_2,distance_3,ego_speed_3,d_diff_3,s_diff_3,distance_4,ego_speed_4,d_diff_4,s_diff_4,distance_5,ego_speed_5,d_diff_5,s_diff_5
1709,scene-0001,1531883532449967,1531883532891863,vehicle_info,ba94cb79ebc74614bc2442185cb53c26,"[1008.359, 618.663, 0.0]","[1008.359, 618.663, 0.0]",99.0,120.1,17.24,202,0,192,0,18.42,55.163000000000004,16.1,43.836999999999996,1.139999999999997,99.0,16.1,0.0,1.139999999999997,99.0,15.19,0.0,2.049999999999999,99.0,14.63,0.0,2.6099999999999977,99.0,14.74,0.0,2.4999999999999982
1711,scene-0001,1531883532449967,1531883532891863,6efa17d08f464d72bbf5613e7149a5b0,1a7aedc342d847c88d76b0adbb8f94ba,"[1008.359, 618.663, 0.0]","[967.202, 652.177, 2.346]",53.128,120.1,17.24,202,0,192,0,18.42,99.0,17.24,-45.872,0.0,55.163000000000004,16.1,-2.0350000000000037,1.139999999999997,99.0,16.1,-45.872,1.139999999999997,99.0,15.19,-45.872,2.049999999999999,99.0,14.63,-45.872,2.6099999999999977
1714,scene-0001,1531883533049931,1531883533391538,6efa17d08f464d72bbf5613e7149a5b0,8c42b659358a409c918f779463d90a4f,"[1006.589, 620.73, 0.0]","[967.061, 652.0, 2.104]",50.445,41.9,18.42,192,0,175,0,19.61,53.128,17.24,-2.683,1.1800000000000033,99.0,17.24,-48.555,1.1800000000000033,55.163000000000004,16.1,-4.7180000000000035,2.3200000000000003,99.0,16.1,-48.555,2.3200000000000003,99.0,15.19,-48.555,3.230000000000002
1716,scene-0001,1531883533049931,1531883533391538,vehicle_info,4dfab70f0b3f405bbf17f7c534d2dd91,"[1006.589, 620.73, 0.0]","[1006.589, 620.73, 0.0]",99.0,41.9,18.42,192,0,175,0,19.61,50.445,18.42,48.555,0.0,53.128,17.24,45.872,1.1800000000000033,99.0,17.24,0.0,1.1800000000000033,55.163000000000004,16.1,43.836999999999996,2.3200000000000003,99.0,16.1,0.0,2.3200000000000003
1720,scene-0001,1531883533550364,1531883533891107,6efa17d08f464d72bbf5613e7149a5b0,b312f1d6f63c4fd19aaceb25af74b160,"[1004.702, 622.474, 0.0]","[967.067, 652.009, 1.963]",47.881,3.3,19.61,175,0,140,0,20.42,99.0,18.42,-51.119,1.1899999999999977,50.445,18.42,-2.564,1.1899999999999977,53.128,17.24,-5.247,2.370000000000001,99.0,17.24,-51.119,2.370000000000001,55.163000000000004,16.1,-7.282000000000004,3.509999999999998
1722,scene-0001,1531883533550364,1531883533891107,vehicle_info,140c678882194ae69e47136c81168b6d,"[1004.702, 622.474, 0.0]","[1004.702, 622.474, 0.0]",99.0,3.3,19.61,175,0,140,0,20.42,47.881,19.61,51.119,0.0,99.0,18.42,0.0,1.1899999999999977,50.445,18.42,48.555,1.1899999999999977,53.128,17.24,45.872,2.370000000000001,99.0,17.24,0.0,2.370000000000001
1724,scene-0001,1531883533950168,1531883534391429,vehicle_info,b8002d4effb540c0b1bb70addf423f32,"[1003.027, 623.908, 0.0]","[1003.027, 623.908, 0.0]",99.0,-0.6,20.42,140,0,42,0,21.13,99.0,19.61,0.0,0.8100000000000023,47.881,19.61,51.119,0.8100000000000023,99.0,18.42,0.0,2.0,50.445,18.42,48.555,2.0,53.128,17.24,45.872,3.1800000000000033
1725,scene-0001,1531883533950168,1531883534391429,6efa17d08f464d72bbf5613e7149a5b0,ee163ec0d63742419af0c2b899b92366,"[1003.027, 623.908, 0.0]","[967.127, 652.084, 1.903]",45.676,-0.6,20.42,140,0,42,0,21.13,99.0,20.42,-53.324,0.0,99.0,19.61,-53.324,0.8100000000000023,47.881,19.61,-2.2049999999999983,0.8100000000000023,99.0,18.42,-53.324,2.0,50.445,18.42,-4.768999999999998,2.0
1731,scene-0001,1531883534449471,1531883534891038,6efa17d08f464d72bbf5613e7149a5b0,32baf25a1e7f451cab6d867fc33951ad,"[1000.89, 625.732, 0.0]","[967.187, 652.158, 1.843]",42.868,-1.0,21.13,42,0,0,0,21.0,45.676,20.42,-2.808,0.7099999999999973,99.0,20.42,-56.132,0.7099999999999973,99.0,19.61,-56.132,1.5199999999999996,47.881,19.61,-5.012999999999998,1.5199999999999996,99.0,18.42,-56.132,2.7099999999999973
1732,scene-0001,1531883534449471,1531883534891038,vehicle_info,1e19d0a5189b46f4b62aa47508f2983e,"[1000.89, 625.732, 0.0]","[1000.89, 625.732, 0.0]",99.0,-1.0,21.13,42,0,0,0,21.0,42.868,21.13,56.132,0.0,45.676,20.42,53.324,0.7099999999999973,99.0,20.42,0.0,0.7099999999999973,99.0,19.61,0.0,1.5199999999999996,47.881,19.61,51.119,1.5199999999999996
1735,scene-0001,1531883534949354,1531883535391080,6efa17d08f464d72bbf5613e7149a5b0,3f4c0a6b9a944ef4a18d4d044429f07d,"[998.647, 627.648, 0.0]","[967.165, 652.13, 1.783]",39.921,-1.0,21.0,0,0,0,0,20.42,99.0,21.13,-59.079,-0.129999999999999,42.868,21.13,-2.9470000000000027,-0.129999999999999,45.676,20.42,-5.755000000000003,0.5799999999999983,99.0,20.42,-59.079,0.5799999999999983,99.0,19.61,-59.079,1.3900000000000006
1739,scene-0001,1531883534949354,1531883535391080,vehicle_info,b7f4a3b32d654cc2b69c1c260a5f34a0,"[998.647, 627.648, 0.0]","[998.647, 627.648, 0.0]",99.0,-1.0,21.0,0,0,0,0,20.42,39.921,21.0,59.079,0.0,99.0,21.13,0.0,-0.129999999999999,42.868,21.13,56.132,-0.129999999999999,45.676,20.42,53.324,0.5799999999999983,99.0,20.42,0.0,0.5799999999999983
1743,scene-0001,1531883535448683,1531883535890913,6efa17d08f464d72bbf5613e7149a5b0,d283c0e538b04c99b7d1a7fa77ac0760,"[996.399, 629.583, 0.0]","[967.215, 652.194, 1.723]",36.959,-0.7,20.42,0,0,0,0,19.7,99.0,21.0,-62.041,-0.5799999999999983,39.921,21.0,-2.961999999999996,-0.5799999999999983,99.0,21.13,-62.041,-0.7099999999999973,42.868,21.13,-5.908999999999999,-0.7099999999999973,45.676,20.42,-8.716999999999999,0.0
1744,scene-0001,1531883535448683,1531883535890913,vehicle_info,917a76cd5f564387bcacc22537010630,"[996.399, 629.583, 0.0]","[996.399, 629.583, 0.0]",99.0,-0.7,20.42,0,0,0,0,19.7,36.959,20.42,62.041,0.0,99.0,21.0,0.0,-0.5799999999999983,39.921,21.0,59.079,-0.5799999999999983,99.0,21.13,0.0,-0.7099999999999973,42.868,21.13,56.132,-0.7099999999999973
1747,scene-0001,1531883535948561,1531883536391479,vehicle_info,c0cd427afacb4c2bb974461eec1dbd79,"[994.178, 631.494, 0.0]","[994.178, 631.494, 0.0]",99.0,0.5,19.7,0,0,0,0,18.87,99.0,20.42,0.0,-0.7200000000000024,36.959,20.42,62.041,-0.7200000000000024,99.0,21.0,0.0,-1.3000000000000007,39.921,21.0,59.079,-1.3000000000000007,99.0,21.13,0.0,-1.4299999999999997
1748,scene-0001,1531883535948561,1531883536391479,6efa17d08f464d72bbf5613e7149a5b0,9bf45a69d41f49648701bccb016b95e9,"[994.178, 631.494, 0.0]","[967.204, 652.18, 1.713]",34.036,0.5,19.7,0,0,0,0,18.87,99.0,19.7,-64.964,0.0,99.0,20.42,-64.964,-0.7200000000000024,36.959,20.42,-2.923000000000002,-0.7200000000000024,99.0,21.0,-64.964,-1.3000000000000007,39.921,21.0,-5.884999999999998,-1.3000000000000007
1750,scene-0001,1531883536448428,1531883536891266,vehicle_info,c36eb85918a84a788e236f5c9eef2b05,"[992.031, 633.339, 0.0]","[992.031, 633.339, 0.0]",99.0,-4.1,18.87,0,0,0,0,17.99,34.036,19.7,64.964,-0.8299999999999983,99.0,19.7,0.0,-0.8299999999999983,99.0,20.42,0.0,-1.5500000000000007,36.959,20.42,62.041,-1.5500000000000007,99.0,21.0,0.0,-2.129999999999999
