,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake
0,scene-0061,1532402927647951,1532402928127800,c1958768d48640948f6053d04cffd35b,49f76277d07541c5a584aa14c9d28754,"[411.304, 1180.89, 0.0]","[399.863, 1143.574, 0.738]",39.038,3.0,31.44,0,0,0,0
1,scene-0061,1532402928147847,1532402928627159,c1958768d48640948f6053d04cffd35b,ae589a5a2bdb4813ae8021cd51b7e6eb,"[409.743, 1176.677, 0.0]","[398.996, 1141.132, 0.738]",37.142,3.5,30.73,0,0,0,0
2,scene-0061,1532402928698048,1532402929127810,c1958768d48640948f6053d04cffd35b,e7a2133afb9c4c9b834225cc959d475a,"[408.102, 1172.152, 0.0]","[398.116, 1138.632, 0.738]",34.983,3.6,29.45,0,0,0,0
3,scene-0061,1532402929197353,1532402929627057,c1958768d48640948f6053d04cffd35b,5a390e5c3f6249bb9f99c9be52614dd2,"[406.726, 1168.211, 0.0]","[397.624, 1136.322, 0.738]",33.171,3.6,28.09,0,0,0,0
4,scene-0061,1532402929697797,1532402930127656,c1958768d48640948f6053d04cffd35b,0e5ab4ede0ad4cafaee8de500415e29a,"[405.409, 1164.354, 0.0]","[397.133, 1134.052, 0.738]",31.421,3.5,27.07,0,0,0,0
5,scene-0061,1532402930152601,1532402930627445,c1958768d48640948f6053d04cffd35b,4a8dd530b1144dd1b8217dbe74b60e63,"[404.278, 1161.05, 0.0]","[396.794, 1132.149, 0.738]",29.863,3.6,26.25,0,0,0,0
6,scene-0061,1532402930648325,1532402931127168,c1958768d48640948f6053d04cffd35b,92a23fb25b98444e93afd004ca31cca2,"[403.115, 1157.518, 0.0]","[396.625, 1130.226, 0.763]",28.063,4.0,25.35,0,0,0,0
7,scene-0061,1532402931198511,1532402931627135,c1958768d48640948f6053d04cffd35b,5e5e0db2bcf642d680865d7c88a62f76,"[401.882, 1153.723, 0.0]","[396.575, 1128.037, 0.788]",26.24,4.7,24.51,0,0,0,0
8,scene-0061,1532402931697833,1532402932127384,c1958768d48640948f6053d04cffd35b,49e7210442be48f495c50e38a50abdbf,"[400.841, 1150.404, 0.0]","[396.706, 1126.176, 0.822]",24.592,6.5,23.58,0,0,0,0
9,scene-0061,1532402932197715,1532402932626799,c1958768d48640948f6053d04cffd35b,bb4c6ddbf99a4f1c930d01efd0bbfcd3,"[399.844, 1147.174, 0.0]","[396.978, 1124.331, 0.855]",23.037,12.6,22.69,0,0,0,0
