,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake,futur_speed
0,scene-0061,1532402927647951,1532402928127800,c1958768d48640948f6053d04cffd35b,49f76277d07541c5a584aa14c9d28754,"[411.304, 1180.89, 0.0]","[399.863, 1143.574, 0.738]",39.038,3.0,31.44,0,0,0,0,30.73
1,scene-0061,1532402928147847,1532402928627159,c1958768d48640948f6053d04cffd35b,ae589a5a2bdb4813ae8021cd51b7e6eb,"[409.743, 1176.677, 0.0]","[398.996, 1141.132, 0.738]",37.142,3.5,30.73,0,0,0,0,29.45
2,scene-0061,1532402928698048,1532402929127810,c1958768d48640948f6053d04cffd35b,e7a2133afb9c4c9b834225cc959d475a,"[408.102, 1172.152, 0.0]","[398.116, 1138.632, 0.738]",34.983,3.6,29.45,0,0,0,0,28.09
3,scene-0061,1532402929197353,1532402929627057,c1958768d48640948f6053d04cffd35b,5a390e5c3f6249bb9f99c9be52614dd2,"[406.726, 1168.211, 0.0]","[397.624, 1136.322, 0.738]",33.171,3.6,28.09,0,0,0,0,27.07
4,scene-0061,1532402929697797,1532402930127656,c1958768d48640948f6053d04cffd35b,0e5ab4ede0ad4cafaee8de500415e29a,"[405.409, 1164.354, 0.0]","[397.133, 1134.052, 0.738]",31.421,3.5,27.07,0,0,0,0,26.25
5,scene-0061,1532402930152601,1532402930627445,c1958768d48640948f6053d04cffd35b,4a8dd530b1144dd1b8217dbe74b60e63,"[404.278, 1161.05, 0.0]","[396.794, 1132.149, 0.738]",29.863,3.6,26.25,0,0,0,0,25.35
6,scene-0061,1532402930648325,1532402931127168,c1958768d48640948f6053d04cffd35b,92a23fb25b98444e93afd004ca31cca2,"[403.115, 1157.518, 0.0]","[396.625, 1130.226, 0.763]",28.063,4.0,25.35,0,0,0,0,24.51
7,scene-0061,1532402931198511,1532402931627135,c1958768d48640948f6053d04cffd35b,5e5e0db2bcf642d680865d7c88a62f76,"[401.882, 1153.723, 0.0]","[396.575, 1128.037, 0.788]",26.24,4.7,24.51,0,0,0,0,23.58
8,scene-0061,1532402931697833,1532402932127384,c1958768d48640948f6053d04cffd35b,49e7210442be48f495c50e38a50abdbf,"[400.841, 1150.404, 0.0]","[396.706, 1126.176, 0.822]",24.592,6.5,23.58,0,0,0,0,22.69
9,scene-0061,1532402932197715,1532402932626799,c1958768d48640948f6053d04cffd35b,bb4c6ddbf99a4f1c930d01efd0bbfcd3,"[399.844, 1147.174, 0.0]","[396.978, 1124.331, 0.855]",23.037,12.6,22.69,0,0,0,0,21.89
10,scene-0061,1532402932647284,1532402933127327,c1958768d48640948f6053d04cffd35b,8d72d40ef47c4210ac6d4381187fb84d,"[399.02, 1144.399, 0.0]","[397.341, 1122.8, 0.888]",21.682,23.8,21.89,0,0,0,0,21.2
11,scene-0061,1532402933146604,1532402933627160,c1958768d48640948f6053d04cffd35b,fb5169ad9daa4d1086ec59d6cf5ed4b0,"[398.167, 1141.37, 0.0]","[397.846, 1121.112, 0.922]",20.282,34.4,21.2,0,0,0,0,20.25
12,scene-0061,1532402933646462,1532402934126855,c1958768d48640948f6053d04cffd35b,88520cc88ba144e68d63de11fbc12d0a,"[397.448, 1138.47, 0.0]","[398.453, 1119.579, 0.955]",18.942,45.8,20.25,0,0,0,0,19.34
13,scene-0061,1532402934146351,1532402934627536,c1958768d48640948f6053d04cffd35b,d42112ee919b4f4d905d6206e3de9a73,"[396.884, 1135.656, 0.0]","[399.156, 1118.16, 0.988]",17.671,69.8,19.34,0,0,0,0,18.33
14,scene-0061,1532402934696555,1532402935127340,c1958768d48640948f6053d04cffd35b,083c23464b7d4f2682d1b0c33996af5f,"[396.444, 1132.627, 0.0]","[400.204, 1116.512, 1.038]",16.58,87.6,18.33,0,0,0,0,17.47
15,scene-0061,1532402935197541,1532402935627675,c1958768d48640948f6053d04cffd35b,f0d891697c4e408bbe5037b94486a7be,"[396.287, 1130.055, 0.0]","[401.36, 1115.102, 1.088]",15.827,90.8,17.47,0,0,0,0,16.58
16,scene-0061,1532402935697945,1532402936127003,c1958768d48640948f6053d04cffd35b,b51c154d31f74655b9c680a9341041b2,"[396.372, 1127.576, 0.0]","[402.713, 1113.793, 1.138]",15.214,98.9,16.58,0,0,48,0,15.71
17,scene-0061,1532402936198962,1532402936627017,c1958768d48640948f6053d04cffd35b,3715bc2122d34f61aa03030f91ec1894,"[396.682, 1125.256, 0.0]","[404.193, 1112.686, 1.101]",14.685,102.0,15.71,48,0,79,0,15.55
18,scene-0061,1532402936699359,1532402937127649,c1958768d48640948f6053d04cffd35b,1d4287f8400a4edb9482bfb47da8ac9f,"[397.185, 1123.06, 0.0]","[405.71, 1111.637, 1.063]",14.293,112.7,15.55,79,0,0,0,15.92
19,scene-0061,1532402937198682,1532402937627089,c1958768d48640948f6053d04cffd35b,523673d1e7e1442db94de37e8e545971,"[397.861, 1121.077, 0.0]","[407.197, 1110.809, 1.026]",13.916,117.1,15.92,0,0,0,0,15.79
20,scene-0061,1532402937698000,1532402938127018,c1958768d48640948f6053d04cffd35b,53467d68e9a34a6cb3c91068000b6e08,"[398.76, 1119.128, 0.0]","[408.562, 1110.104, 0.988]",13.36,117.1,15.79,0,0,0,0,15.39
21,scene-0061,1532402938197897,1532402938627564,c1958768d48640948f6053d04cffd35b,0f2efdc2c7ab463e93825dbf849dbcdb,"[399.908, 1117.209, 0.0]","[409.897, 1109.434, 0.988]",12.697,114.9,15.39,0,0,0,0,14.86
22,scene-0061,1532402938647444,1532402939128381,c1958768d48640948f6053d04cffd35b,2bff484f662f4a438751c5daac0f4d5e,"[401.065, 1115.678, 0.0]","[411.035, 1108.881, 0.988]",12.107,105.6,14.86,0,0,0,1,14.07
23,scene-0061,1532402939147334,1532402939627276,c1958768d48640948f6053d04cffd35b,d68b784ebd124073b23767a09e643926,"[402.474, 1114.149, 0.0]","[412.296, 1108.324, 0.988]",11.462,102.4,14.07,0,1,0,0,11.41
24,scene-0061,1532402939697511,1532402940627263,c1958768d48640948f6053d04cffd35b,0b875cbe5c924238a3a54f80846b8110,"[404.114, 1112.676, 0.0]","[413.638, 1107.792, 0.988]",10.749,74.6,11.41,0,0,0,0,10.63
25,scene-0061,1532402940197958,1532402941126977,c1958768d48640948f6053d04cffd35b,3b98da648ec54580a4e6aff7c1aa750d,"[405.594, 1111.559, 0.0]","[414.858, 1107.239, 0.988]",10.269,67.9,10.63,0,0,0,0,9.88
26,scene-0061,1532402940797343,1532402941626849,c1958768d48640948f6053d04cffd35b,7a10260537024347b87c8b499ea88a15,"[407.235, 1110.495, 0.0]","[416.431, 1106.546, 0.988]",10.056,51.4,9.88,0,0,0,0,9.23
27,scene-0061,1532402941297218,1532402942126884,c1958768d48640948f6053d04cffd35b,cfe1457a99e4465f8e6b683a4688e813,"[408.529, 1109.754, 0.0]","[417.777, 1105.942, 0.988]",10.051,21.7,9.23,0,0,0,0,8.77
28,scene-0061,1532402941797653,1532402942626612,c1958768d48640948f6053d04cffd35b,cdfd8e85d17942f8820c2f234239b874,"[409.736, 1109.123, 0.0]","[419.123, 1105.339, 0.988]",10.169,9.9,8.77,0,0,0,0,8.49
29,scene-0061,1532402942197463,1532402943127326,c1958768d48640948f6053d04cffd35b,8633be668e3445b19f26465ff6bdf5a4,"[410.665, 1108.672, 0.0]","[420.201, 1104.947, 0.988]",10.285,2.4,8.49,0,0,0,0,8.21
30,scene-0061,1532402942697870,1532402943627546,c1958768d48640948f6053d04cffd35b,97a12a3973934204bc927bf2c6328e16,"[411.779, 1108.142, 0.0]","[421.476, 1104.531, 0.988]",10.394,1.9,8.21,0,0,0,0,8.21
