,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake
1,scene-0004,1531883985948699,1531883986389788,a326c569f4a84999a361a7f1a61af12d,ab01c4b115124c3bb91e51a7d9fe0a31,"[357.393, 1072.8, 0.0]","[365.056, 1090.419, 0.858]",19.233,-1.1,15.14,63,0,102,0
9,scene-0004,1531883986448607,1531883986889194,a326c569f4a84999a361a7f1a61af12d,744d817d5e10450badf4164dfef5213d,"[358.209, 1074.761, 0.0]","[365.751, 1092.046, 0.937]",18.882,-2.5,15.65,102,0,177,0
16,scene-0004,1531883986948473,1531883987389439,a326c569f4a84999a361a7f1a61af12d,88a3803927f247508a391139b076e454,"[359.043, 1076.758, 0.0]","[366.52, 1093.848, 0.98]",18.679,0.3,16.32,177,0,151,0
30,scene-0004,1531883987398588,1531883987889539,a326c569f4a84999a361a7f1a61af12d,80fa3b34a5f44e90b30f4ce59633a2ca,"[359.817, 1078.603, 0.0]","[367.245, 1095.548, 0.988]",18.527,0.2,17.55,151,0,193,0
34,scene-0004,1531883987898437,1531883988389273,a326c569f4a84999a361a7f1a61af12d,2faea209e3554ca19214725987f9593d,"[360.755, 1080.832, 0.0]","[368.16, 1097.582, 1.102]",18.347,0.6,18.57,193,0,197,0
45,scene-0004,1531883988398318,1531883988888895,a326c569f4a84999a361a7f1a61af12d,d041d6d465054a2295aeab058b4eeb9b,"[361.725, 1083.138, 0.0]","[369.179, 1099.704, 1.128]",18.201,1.5,19.64,197,0,197,0
56,scene-0004,1531883988898749,1531883989389392,a326c569f4a84999a361a7f1a61af12d,a9f4ad64058c4a4b917b929809421af8,"[362.777, 1085.639, 0.0]","[370.366, 1102.016, 1.119]",18.085,1.5,20.68,197,0,197,0
61,scene-0004,1531883989399181,1531883989889107,a326c569f4a84999a361a7f1a61af12d,4eec73c0b69742d882c2a1232fa99eae,"[363.875, 1088.277, 0.0]","[371.648, 1104.253, 1.125]",17.802,-0.6,21.76,197,0,197,0
65,scene-0004,1531883989899603,1531883990389440,a326c569f4a84999a361a7f1a61af12d,9ab4ec34cafc4523abc796c2ea6056d7,"[365.031, 1091.079, 0.0]","[373.124, 1106.44, 1.114]",17.398,-1.0,22.79,197,0,190,0
67,scene-0004,1531883990400032,1531883990889652,a326c569f4a84999a361a7f1a61af12d,d0bcde37de3a43c39f87bc869114b40e,"[366.25, 1094.017, 0.0]","[374.768, 1108.527, 1.086]",16.861,1.6,23.55,190,0,190,0
74,scene-0004,1531883990899924,1531883991389346,a326c569f4a84999a361a7f1a61af12d,c74b40ff2eac432ab8ebd2d60123b9a7,"[367.492, 1097.047, 0.0]","[376.346, 1110.252, 1.093]",15.936,1.5,24.59,190,0,184,0
76,scene-0004,1531883991399243,1531883991889346,a326c569f4a84999a361a7f1a61af12d,a25643058ff8486e9efc1093ffda1ccd,"[368.792, 1100.222, 0.0]","[378.016, 1111.82, 1.024]",14.855,5.9,25.5,184,0,182,0
82,scene-0004,1531883991948870,1531883991889346,c5e055572b08482b8632fb2b64c55c54,5d1a889699c0483e80a61de08c4878c9,"[370.264, 1103.815, 0.0]","[386.516, 1132.951, 0.957]",33.375,5.9,25.5,184,0,182,0
84,scene-0004,1531883992448757,1531883992389405,c5e055572b08482b8632fb2b64c55c54,d3c6c8686e9d420c82f8d8af5e807d99,"[371.629, 1107.246, 0.0]","[386.456, 1132.979, 0.885]",29.712,9.1,26.18,182,0,182,0
88,scene-0004,1531883992949188,1531883992889273,c5e055572b08482b8632fb2b64c55c54,78c432fbadc94e50ae1c8e0c2fed66f6,"[373.027, 1110.775, 0.0]","[386.464, 1132.996, 0.739]",25.978,7.9,26.96,182,0,117,0
89,scene-0004,1531883993449644,1531883993390035,c5e055572b08482b8632fb2b64c55c54,7e0b2782f9e84ce9904b6ab6cbb34db7,"[374.402, 1114.457, 0.0]","[386.372, 1133.034, 0.744]",22.112,3.8,27.76,117,0,104,0
93,scene-0004,1531883993949500,1531883993890126,c5e055572b08482b8632fb2b64c55c54,8fcb810829294281b9a1263af86114eb,"[375.79, 1118.264, 0.0]","[386.398, 1133.089, 0.749]",18.245,3.0,28.39,104,0,58,0
96,scene-0004,1531883994449369,1531883994390316,c5e055572b08482b8632fb2b64c55c54,d154839937864d8f904f03d5109e4e40,"[377.162, 1122.061, 0.0]","[386.41, 1133.114, 0.754]",14.431,0.5,28.66,58,0,141,0
99,scene-0004,1531883994949236,1531883994889490,c5e055572b08482b8632fb2b64c55c54,10ce89a2741648e198021ca854646d50,"[378.527, 1125.852, 0.0]","[386.408, 1133.109, 0.759]",10.74,-5.2,28.63,141,0,166,0
101,scene-0004,1531883995449161,1531883995389400,6feab41a49d74fff99cf0b2f64cdb267,bd32d8d07050451697c3d756b9a6ec34,"[379.947, 1129.692, 0.0]","[390.69, 1144.119, 1.021]",18.017,-6.4,29.22,166,0,174,0
102,scene-0004,1531883995948997,1531883995890790,6feab41a49d74fff99cf0b2f64cdb267,c51aeacccff1487596cb9b6e1c9522a4,"[381.43, 1133.566, 0.0]","[390.137, 1142.778, 1.021]",12.717,-4.4,29.93,174,0,158,0
104,scene-0004,1531883996448871,1531883996389072,6feab41a49d74fff99cf0b2f64cdb267,cd69ef1e3fc74cdf9845e1445c847bc7,"[383.002, 1137.587, 0.0]","[389.652, 1141.602, 1.021]",7.835,-4.1,30.95,158,0,135,0
5,scene-0005,1531884104147859,1531884104388694,4ca1be07174c483ea2555577b9af65eb,28ef73f395ce49699b77324a3c8c1c37,"[486.913, 1359.202, 0.0]","[489.436, 1369.296, 0.813]",10.436,12.6,24.25,0,0,0,0
11,scene-0005,1531884104698605,1531884104889364,4ca1be07174c483ea2555577b9af65eb,abf2ef5bf9af45d583b9f9c8624f71ed,"[488.951, 1362.385, 0.0]","[491.666, 1372.786, 0.788]",10.778,14.2,23.84,0,0,0,0
17,scene-0005,1531884105148716,1531884105388751,4ca1be07174c483ea2555577b9af65eb,d0400e188a8342a497cb972688b7c156,"[490.544, 1364.991, 0.0]","[493.742, 1376.371, 0.763]",11.845,13.6,23.16,0,0,0,0
18,scene-0005,1531884105648615,1531884105888695,4ca1be07174c483ea2555577b9af65eb,9e6f9c0f8e00433599173ba7be3c05f2,"[492.208, 1367.784, 0.0]","[495.686, 1380.054, 0.78]",12.777,10.5,22.26,0,0,0,0
29,scene-0005,1531884106148483,1531884106389399,4ca1be07174c483ea2555577b9af65eb,367be0525650454589e550fbdf6b5be1,"[493.745, 1370.487, 0.0]","[497.478, 1383.814, 0.797]",13.863,10.5,21.29,0,0,0,0
34,scene-0005,1531884106548266,1531884106889283,4ca1be07174c483ea2555577b9af65eb,9da155608ce943a9ad4fadffb7dd1984,"[494.854, 1372.556, 0.0]","[499.115, 1387.644, 0.813]",15.699,14.9,20.25,0,0,61,0
37,scene-0005,1531884107048136,1531884107388994,4ca1be07174c483ea2555577b9af65eb,b4477c949bd94e7598ac66b7a89754a3,"[496.179, 1375.062, 0.0]","[500.924, 1392.104, 0.852]",17.711,17.2,19.59,61,0,61,0
44,scene-0005,1531884107548011,1531884107888560,4ca1be07174c483ea2555577b9af65eb,06701ff6dc7d4da08668ceb840066686,"[497.437, 1377.552, 0.0]","[502.631, 1396.604, 0.89]",19.767,19.7,19.27,61,0,99,0
46,scene-0005,1531884108048453,1531884108389068,4ca1be07174c483ea2555577b9af65eb,914015720f4b46fcb94850d8f4e348d6,"[498.602, 1379.966, 0.0]","[504.236, 1401.142, 0.928]",21.932,23.1,19.11,99,0,109,0
52,scene-0005,1531884108548863,1531884108889402,4ca1be07174c483ea2555577b9af65eb,81b24707d7a54eed99afc908b886a064,"[499.71, 1382.438, 0.0]","[505.737, 1405.715, 0.967]",24.064,26.4,19.29,109,0,159,0
58,scene-0005,1531884109049314,1531884109389347,4ca1be07174c483ea2555577b9af65eb,e6ca18f6476844789e6fb5f9f3449bbd,"[500.755, 1384.927, 0.0]","[507.069, 1410.226, 0.996]",26.094,30.1,19.65,159,0,182,0
62,scene-0005,1531884109549207,1531884109888868,4ca1be07174c483ea2555577b9af65eb,c076706bd6884d92a381e6a2bfa3a6f0,"[501.764, 1387.552, 0.0]","[508.283, 1414.771, 1.025]",28.008,35.3,20.43,182,0,175,0
64,scene-0005,1531884110048523,1531884110388712,4ca1be07174c483ea2555577b9af65eb,8a45c3bbd46d4668b5d6cd7b54b914c6,"[502.683, 1390.287, 0.0]","[509.332, 1418.784, 1.045]",29.281,30.6,21.32,175,0,156,0
70,scene-0005,1531884110548942,1531884110888748,dd82202136e9440b99b3567a92a5f29f,9f94c92dadfb47179dea75b803849ce1,"[503.527, 1393.142, 0.0]","[514.752, 1420.432, 1.985]",29.575,16.9,22.29,156,0,71,0
71,scene-0005,1531884111048805,1531884111389163,dd82202136e9440b99b3567a92a5f29f,d8b94dbbd31c44b4b9d744371adaed0d,"[504.299, 1396.174, 0.0]","[514.752, 1420.432, 1.985]",26.489,8.5,23.07,71,0,84,0
76,scene-0005,1531884111449198,1531884111888499,dd82202136e9440b99b3567a92a5f29f,b782f10334b748f4a1e136104642fa1c,"[504.891, 1398.688, 0.0]","[514.752, 1420.432, 1.985]",23.958,-4.4,23.27,84,0,0,0
81,scene-0005,1531884111948472,1531884112388502,dd82202136e9440b99b3567a92a5f29f,e64693c383324d3095d745d7107d3393,"[505.612, 1401.896, 0.0]","[514.752, 1420.432, 1.985]",20.762,-5.5,23.1,0,0,0,0
84,scene-0005,1531884112448356,1531884112888576,dd82202136e9440b99b3567a92a5f29f,8da2153a44f74b38a90240c78e17833d,"[506.342, 1405.13, 0.0]","[514.752, 1420.432, 1.985]",17.573,-3.6,22.55,0,0,0,0
87,scene-0005,1531884112948227,1531884113389009,dd82202136e9440b99b3567a92a5f29f,c81a81c3251043a1bb37d726731772a7,"[507.073, 1408.286, 0.0]","[514.752, 1420.432, 1.985]",14.506,-2.6,21.51,0,0,0,0
92,scene-0005,1531884113448112,1531884113889346,dd82202136e9440b99b3567a92a5f29f,1288f283e9084eb3864ed44042855f98,"[507.771, 1411.269, 0.0]","[514.752, 1420.432, 1.985]",11.689,-2.0,20.73,0,0,0,0
96,scene-0005,1531884113948521,1531884114388864,dd82202136e9440b99b3567a92a5f29f,93f221a1dd414d8a939cef4fbd43a91e,"[508.46, 1414.143, 0.0]","[514.752, 1420.432, 1.985]",9.115,1.7,19.73,0,0,0,0
100,scene-0005,1531884114447864,1531884114889347,4ca1be07174c483ea2555577b9af65eb,84d9b1431c2049f1910128f8db995ed9,"[509.115, 1416.864, 0.0]","[515.928, 1444.059, 1.108]",28.058,4.4,18.58,0,0,0,0
103,scene-0005,1531884114948288,1531884115388704,4ca1be07174c483ea2555577b9af65eb,5c5228f20b634191836a91953aca7bc0,"[509.733, 1419.456, 0.0]","[516.589, 1445.683, 1.108]",27.131,4.7,17.32,0,0,0,0
