,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake,futur_speed
6,scene-0001,1531883531450214,1531883531890914,39b6c31c9925492a8a9f1b0ef3b877b6,8feca495e3614382b12a6637c82c4670,"[1010.029, 614.858, 0.0]","[1002.499, 632.296, 1.736]",19.073,206.3,15.19,158,0,182,0,16.1
11,scene-0001,1531883531950107,1531883532391342,39b6c31c9925492a8a9f1b0ef3b877b6,e70a018c1c5541069187b4fdad085b43,"[1009.423, 616.759, 0.0]","[1002.407, 632.18, 1.636]",17.021,192.3,16.1,182,0,202,0,17.24
13,scene-0001,1531883532449967,1531883532891863,39b6c31c9925492a8a9f1b0ef3b877b6,818fbb98a43b4d7e8ff39e2048b2ff0b,"[1008.359, 618.663, 0.0]","[1002.336, 632.183, 1.586]",14.886,120.1,17.24,202,0,192,0,18.42
21,scene-0001,1531883533049931,1531883533391538,a1f53dd65da64eb2b0cec51d57b8c047,61c51ee897dd419f84ff3104735e6fd6,"[1006.589, 620.73, 0.0]","[994.03, 639.159, 1.431]",22.348,41.9,18.42,192,0,175,0,19.61
25,scene-0001,1531883533550364,1531883533891107,6efa17d08f464d72bbf5613e7149a5b0,b312f1d6f63c4fd19aaceb25af74b160,"[1004.702, 622.474, 0.0]","[967.067, 652.009, 1.963]",47.881,3.3,19.61,175,0,140,0,20.42
28,scene-0001,1531883533950168,1531883534391429,6efa17d08f464d72bbf5613e7149a5b0,ee163ec0d63742419af0c2b899b92366,"[1003.027, 623.908, 0.0]","[967.127, 652.084, 1.903]",45.676,-0.6,20.42,140,0,42,0,21.13
35,scene-0001,1531883534449471,1531883534891038,6efa17d08f464d72bbf5613e7149a5b0,32baf25a1e7f451cab6d867fc33951ad,"[1000.89, 625.732, 0.0]","[967.187, 652.158, 1.843]",42.868,-1.0,21.13,42,0,0,0,21.0
43,scene-0001,1531883534949354,1531883535391080,6efa17d08f464d72bbf5613e7149a5b0,3f4c0a6b9a944ef4a18d4d044429f07d,"[998.647, 627.648, 0.0]","[967.165, 652.13, 1.783]",39.921,-1.0,21.0,0,0,0,0,20.42
47,scene-0001,1531883535448683,1531883535890913,6efa17d08f464d72bbf5613e7149a5b0,d283c0e538b04c99b7d1a7fa77ac0760,"[996.399, 629.583, 0.0]","[967.215, 652.194, 1.723]",36.959,-0.7,20.42,0,0,0,0,19.7
51,scene-0001,1531883535948561,1531883536391479,6efa17d08f464d72bbf5613e7149a5b0,9bf45a69d41f49648701bccb016b95e9,"[994.178, 631.494, 0.0]","[967.204, 652.18, 1.713]",34.036,0.5,19.7,0,0,0,0,18.87
