,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake
0,scene-0021,1531885977549637,1531885977880687,vehicle_info,46f7968fb3d94da1a35cee3fd2cdd9c7,"[613.266, 1452.01, 0.0]","[613.266, 1452.01, 0.0]",-1.0,-2.2,0.0,0,9,0,9
1,scene-0021,1531885977549637,1531885977880687,6ef85d28c25f4e848f7612eef270ed2e,0534cddd174341cb802e8ea85de13ba3,"[613.266, 1452.01, 0.0]","[631.612, 1499.179, 2.126]",50.656,-2.2,0.0,0,9,0,9
2,scene-0021,1531885977549637,1531885977880687,d2877e718805401cbdca0c55577332f0,f0484395900a4c49a9bfaa7c541687b6,"[613.266, 1452.01, 0.0]","[628.15, 1466.465, 0.707]",20.76,-2.2,0.0,0,9,0,9
3,scene-0021,1531885978048513,1531885978380635,d2877e718805401cbdca0c55577332f0,cd940db80e014e69b4542607de9ce464,"[613.269, 1452.009, 0.0]","[622.511, 1466.529, 0.832]",17.232,-2.2,0.0,0,9,0,9
4,scene-0021,1531885978048513,1531885978380635,6ef85d28c25f4e848f7612eef270ed2e,d319202967c144cfbc9c580a75aad710,"[613.269, 1452.009, 0.0]","[631.594, 1499.183, 2.126]",50.653,-2.2,0.0,0,9,0,9
5,scene-0021,1531885978048513,1531885978380635,vehicle_info,26372d156431456ea3093a3d32a0b6db,"[613.269, 1452.009, 0.0]","[613.269, 1452.009, 0.0]",-1.0,-2.2,0.0,0,9,0,9
6,scene-0021,1531885978547737,1531885978881334,6ef85d28c25f4e848f7612eef270ed2e,491b616940324d40a38f4150201e4125,"[613.27, 1452.009, 0.0]","[631.575, 1499.188, 2.126]",50.651,-2.2,0.0,0,9,0,10
7,scene-0021,1531885978547737,1531885978881334,d2877e718805401cbdca0c55577332f0,573804f667e54edf911375af773d40fe,"[613.27, 1452.009, 0.0]","[616.873, 1466.445, 0.957]",14.91,-2.2,0.0,0,9,0,10
8,scene-0021,1531885978547737,1531885978881334,vehicle_info,74c03d0f0f744bed935325b7d117a52b,"[613.27, 1452.009, 0.0]","[613.27, 1452.009, 0.0]",-1.0,-2.2,0.0,0,9,0,10
9,scene-0021,1531885979048165,1531885979381329,6ef85d28c25f4e848f7612eef270ed2e,c3a75d21c85d4e2695fe851b3cfc2ba7,"[613.272, 1452.008, 0.0]","[631.557, 1499.193, 2.126]",50.649,-2.2,0.0,0,10,0,0
10,scene-0021,1531885979048165,1531885979381329,d2877e718805401cbdca0c55577332f0,adcb4c19f72c4516b4bd31cf58b61d6d,"[613.272, 1452.008, 0.0]","[611.577, 1466.167, 1.132]",14.305,-2.2,0.0,0,10,0,0
