,scene,timestamp,utime,inst_token,ann_token,distance,throttle,ego_speed,brake,future_throttle,future_brake
0,scene-0067,750532198372,750532349519,d1728188d3684590907d5b50fb5ee870,f6884df125d44728879a9af1d5c8d286,94.198,265,10.42,0,265,0
1,scene-0067,750532198372,750532349519,ec3036c27f4845aebf04c5205348296a,ae0d8c02dad649f4b7b61f236d3d4a4a,39.776,265,10.42,0,265,0
2,scene-0067,750532198372,750532349519,57ff41e9d43e4aa892421ef825d5fa7e,41c24c24df394418b10377139a23eda7,56.632,265,10.42,0,265,0
3,scene-0067,750532198372,750532349519,19d9792dc9bf4bccad644a242a958cf4,4f4759841ab94266a1b9a1b653a5bea3,28.909,265,10.42,0,265,0
4,scene-0067,750532198372,750532349519,30d55e8a3a5b420ea40e230fc112be86,51a2639889da46f6af45f56db075cb05,31.893,265,10.42,0,265,0
5,scene-0067,750532198372,750532349519,ddee9e856b394d609136309ec843b69c,6a51b6427c71433ca3a14afa1a382c62,11.884,265,10.42,0,265,0
6,scene-0067,750532198372,750532349519,7a103d0a835c4496aed7e84c096c3b8c,9581b9f48b6b4d9993c10ef5a1cbea2a,24.843,265,10.42,0,265,0
7,scene-0067,750532698287,750532850008,ec3036c27f4845aebf04c5205348296a,75630047d1ce4ad6ab7a7db9897e7836,38.672,265,12.36,0,265,0
8,scene-0067,750532698287,750532850008,19d9792dc9bf4bccad644a242a958cf4,eb424c092dc54ad985f4a231e5ce7e20,27.266,265,12.36,0,265,0
9,scene-0067,750532698287,750532850008,30d55e8a3a5b420ea40e230fc112be86,e774d4a18a014e74baf45d3dd3d234d9,29.935,265,12.36,0,265,0
10,scene-0067,750532698287,750532850008,7a103d0a835c4496aed7e84c096c3b8c,aefd61526ffa447b9b4c3fc40e17a23b,27.477,265,12.36,0,265,0
11,scene-0067,750532698287,750532850008,ddee9e856b394d609136309ec843b69c,21ac0a40d5584bac88a65661088e92e0,10.339,265,12.36,0,265,0
12,scene-0067,750532698287,750532850008,d1728188d3684590907d5b50fb5ee870,0b57dae938aa435fbfb1b6daa01c6317,98.03,265,12.36,0,265,0
13,scene-0067,750532698287,750532850008,57ff41e9d43e4aa892421ef825d5fa7e,6828e3c252ff4b47ade9ad4764d9bb90,54.957,265,12.36,0,265,0
14,scene-0067,750533647110,750533850475,ddee9e856b394d609136309ec843b69c,ccd7fec8cdab48618a9edb69c8beba2a,7.197,265,15.68,0,268,0
15,scene-0067,750533647110,750533850475,ec3036c27f4845aebf04c5205348296a,d5dbf3c49bca466e80f9fd8c30a63bad,36.01,265,15.68,0,268,0
16,scene-0067,750533647110,750533850475,d1728188d3684590907d5b50fb5ee870,77cf52e8001b466a8b0b89f92e7b8641,105.247,265,15.68,0,268,0
17,scene-0067,750533647110,750533850475,30d55e8a3a5b420ea40e230fc112be86,67faecd895244c8bb25fdcdbfd117776,25.617,265,15.68,0,268,0
18,scene-0067,750533647110,750533850475,57ff41e9d43e4aa892421ef825d5fa7e,0f13daec090f4e558b1f10389d895031,51.138,265,15.68,0,268,0
19,scene-0067,750533647110,750533850475,19d9792dc9bf4bccad644a242a958cf4,ffda183d192c414983f35c2852bb4b38,23.605,265,15.68,0,268,0
20,scene-0067,750533647110,750533850475,7a103d0a835c4496aed7e84c096c3b8c,0c9d2f40c42848db9f8907bcb5d10309,32.168,265,15.68,0,268,0
21,scene-0067,750534147530,750534350061,7a103d0a835c4496aed7e84c096c3b8c,3b11f3a9b45b4657828bb338678de6b0,34.436,268,17.28,0,268,0
22,scene-0067,750534147530,750534350061,ec3036c27f4845aebf04c5205348296a,7c0fabd5554b41619687609fa457b86f,34.233,268,17.28,0,268,0
23,scene-0067,750534147530,750534350061,57ff41e9d43e4aa892421ef825d5fa7e,597762508d434549a6057f3231dea48b,48.774,268,17.28,0,268,0
24,scene-0067,750534147530,750534350061,19d9792dc9bf4bccad644a242a958cf4,d2fd993b1b0a461886e15ea017026eb4,21.41,268,17.28,0,268,0
25,scene-0067,750534697428,750534849542,57ff41e9d43e4aa892421ef825d5fa7e,b51391048ed342ce80b0ea567a355f5b,45.958,268,18.72,0,268,0
26,scene-0067,750534697428,750534849542,ec3036c27f4845aebf04c5205348296a,22b05ba9ad5142c7b2505a4e800a433a,32.007,268,18.72,0,268,0
27,scene-0067,750534697428,750534849542,7a103d0a835c4496aed7e84c096c3b8c,2cf000317b3141808f6f4ea96940bdba,36.852,268,18.72,0,268,0
28,scene-0067,750534697428,750534849542,19d9792dc9bf4bccad644a242a958cf4,4c6d6cd752ee4e99986e56cb0792e905,18.843,268,18.72,0,268,0
29,scene-0067,750535197620,750535349884,19d9792dc9bf4bccad644a242a958cf4,b80976b9374f4d6ea8f0dd91133b5950,16.364,268,20.36,0,268,0
30,scene-0067,750535197620,750535349884,ec3036c27f4845aebf04c5205348296a,e6b80faa146044dbb27b4f812ba67c6d,29.792,268,20.36,0,268,0
31,scene-0067,750535197620,750535349884,3fd837d21ff24489a841df6873f6c13c,1d456f103e204e05ae01bc5161437b4f,54.584,268,20.36,0,268,0
32,scene-0067,750535197620,750535349884,7a103d0a835c4496aed7e84c096c3b8c,305a9391d6084127994ca00d2e5af12b,38.682,268,20.36,0,268,0
33,scene-0067,750535197620,750535349884,57ff41e9d43e4aa892421ef825d5fa7e,afaa53e4cea7461b93ac9d5d706b36c6,43.121,268,20.36,0,268,0
34,scene-0067,750535797593,750535850333,ec3036c27f4845aebf04c5205348296a,13871786e4a64d0dab9b3a076f81e8d6,26.782,268,21.58,0,262,0
35,scene-0067,750535797593,750535850333,3fd837d21ff24489a841df6873f6c13c,3919c52a5bff4c5fb80d12b36613853a,51.107,268,21.58,0,262,0
36,scene-0067,750535797593,750535850333,7a103d0a835c4496aed7e84c096c3b8c,8b2b1ef49a854b5ab02f4e7b91752f79,40.191,268,21.58,0,262,0
37,scene-0067,750535797593,750535850333,57ff41e9d43e4aa892421ef825d5fa7e,eb5c1ab5e24642b58af991f32e64f3bd,39.49,268,21.58,0,262,0
38,scene-0067,750535797593,750535850333,19d9792dc9bf4bccad644a242a958cf4,b642e41e5d88469f8964a54a95770304,13.315,268,21.58,0,262,0
39,scene-0067,750536297458,750536349597,7a103d0a835c4496aed7e84c096c3b8c,46388b1663e648b6b0f437b1b79e52af,40.928,262,22.74,0,219,0
40,scene-0067,750536297458,750536349597,57ff41e9d43e4aa892421ef825d5fa7e,6dea0a74f8184819a46095928a426073,36.243,262,22.74,0,219,0
41,scene-0067,750536297458,750536349597,19d9792dc9bf4bccad644a242a958cf4,9f3104ee2d2d40949bc1af34b5ec1b50,10.892,262,22.74,0,219,0
42,scene-0067,750536297458,750536349597,3fd837d21ff24489a841df6873f6c13c,e2d17f875954449584c4202a0b4dd1a3,48.063,262,22.74,0,219,0
43,scene-0067,750536297458,750536349597,ec3036c27f4845aebf04c5205348296a,89498880c7e5454595107b9377eedb8d,24.003,262,22.74,0,219,0
44,scene-0067,750536697810,750536849570,3fd837d21ff24489a841df6873f6c13c,5026f865e3f347cda0020730a6614a0d,45.423,219,23.76,0,0,0
45,scene-0067,750536697810,750536849570,7a103d0a835c4496aed7e84c096c3b8c,c29121a900f848ca8f5dfe4893a2cb6d,41.403,219,23.76,0,0,0
46,scene-0067,750536697810,750536849570,ec3036c27f4845aebf04c5205348296a,9d6315b3c45b48a0a0702572dcee7b85,21.361,219,23.76,0,0,0
47,scene-0067,750536697810,750536849570,57ff41e9d43e4aa892421ef825d5fa7e,e63bfa3da53640bd8091458aa5cd128d,33.554,219,23.76,0,0,0
48,scene-0067,750537147904,750537349902,3fd837d21ff24489a841df6873f6c13c,c25dfc10d6454b41b10d7f6c201e23c1,42.451,0,24.29,0,0,1
49,scene-0067,750537147904,750537349902,7a103d0a835c4496aed7e84c096c3b8c,5a755eae88fe4578929515ea8ab2dc89,42.02,0,24.29,0,0,1
50,scene-0067,750537147904,750537349902,ec3036c27f4845aebf04c5205348296a,a504b38fa8ea494b9d48f2e886d7441d,18.339,0,24.29,0,0,1
51,scene-0067,750537147904,750537349902,57ff41e9d43e4aa892421ef825d5fa7e,3126d17b71be439f955efb87d58ad243,30.471,0,24.29,0,0,1
52,scene-0067,750537647842,750537851463,57ff41e9d43e4aa892421ef825d5fa7e,84be7bee734048198e4afa67cf85ab13,26.929,0,24.02,1,0,0
53,scene-0067,750537647842,750537851463,abbf722e327a483cb52b5d9f98bddc2a,12add256464f462885964732516379cb,62.278,0,24.02,1,0,0
54,scene-0067,750537647842,750537851463,7a103d0a835c4496aed7e84c096c3b8c,5966955952d441e79ce92136effacb5f,42.177,0,24.02,1,0,0
55,scene-0067,750537647842,750537851463,3fd837d21ff24489a841df6873f6c13c,9e9d27cf7f484079a597b0601d917b04,39.006,0,24.02,1,0,0
56,scene-0067,750537647842,750537851463,ec3036c27f4845aebf04c5205348296a,405597e9136d42fba6c0758a268d007f,14.44,0,24.02,1,0,0
57,scene-0067,750538147681,750538350085,7a103d0a835c4496aed7e84c096c3b8c,21549e6c45fb43bf9671170c8ae74f4c,41.67,0,22.69,0,0,0
58,scene-0067,750538147681,750538350085,3fd837d21ff24489a841df6873f6c13c,162e477811c340e381cae864be71882a,35.791,0,22.69,0,0,0
59,scene-0067,750538147681,750538350085,9c16a73b1232441bb108340acfa4051d,501f8cea7a4444239bce4b9fce8bc869,42.97,0,22.69,0,0,0
60,scene-0067,750538147681,750538350085,57ff41e9d43e4aa892421ef825d5fa7e,f505a5b7926d42ca91c2cb2da95fbdda,23.585,0,22.69,0,0,0
61,scene-0067,750538147681,750538350085,482852c33447438daab2775bbdd1591a,8a65784d9bb64792a57bc4046ba92ecc,62.337,0,22.69,0,0,0
62,scene-0067,750538147681,750538350085,6db8854cdeb547b7a3a5e9bf5b294ade,22cbec2126a245b1b96316c24787dba6,44.214,0,22.69,0,0,0
63,scene-0067,750538147681,750538350085,abbf722e327a483cb52b5d9f98bddc2a,0c5fb9e6fda24cf4897c14775641c6cb,57.139,0,22.69,0,0,0
