,scene,brake
30949,scene-0221,0
30948,scene-0221,0
30953,scene-0221,0
30950,scene-0221,0
30951,scene-0221,0
30952,scene-0221,0
30959,scene-0221,0
30958,scene-0221,0
30954,scene-0221,0
30956,scene-0221,0
30957,scene-0221,0
30955,scene-0221,0
30964,scene-0221,0
30965,scene-0221,0
30962,scene-0221,0
30961,scene-0221,0
30960,scene-0221,0
30963,scene-0221,0
30966,scene-0221,0
30967,scene-0221,0
30969,scene-0221,0
30970,scene-0221,0
30968,scene-0221,0
30971,scene-0221,0
30972,scene-0221,0
30973,scene-0221,0
30974,scene-0221,0
30975,scene-0221,0
30979,scene-0221,0
30977,scene-0221,0
30978,scene-0221,0
30976,scene-0221,0
30981,scene-0221,0
30982,scene-0221,0
30980,scene-0221,0
30983,scene-0221,4
30984,scene-0221,4
30985,scene-0221,4
30986,scene-0221,5
30987,scene-0221,5
30988,scene-0221,9
30989,scene-0221,9
30990,scene-0221,10
30991,scene-0221,10
30993,scene-0221,12
30992,scene-0221,12
30994,scene-0221,12
30995,scene-0221,12
30996,scene-0221,12
30997,scene-0221,12
30998,scene-0221,12
30999,scene-0221,12
31000,scene-0221,12
31001,scene-0221,12
31002,scene-0221,0
31003,scene-0221,0
31004,scene-0221,0
31005,scene-0221,0
31006,scene-0221,0
31007,scene-0221,0
31008,scene-0221,0
31009,scene-0221,0
31010,scene-0221,0
31011,scene-0221,0
31013,scene-0221,0
31012,scene-0221,0
31014,scene-0221,0
31016,scene-0221,0
31017,scene-0221,0
31015,scene-0221,0
31018,scene-0221,0
31019,scene-0221,0
31020,scene-0221,0
31021,scene-0221,0
31022,scene-0221,0
31023,scene-0221,0
31024,scene-0221,0
31025,scene-0221,0
31029,scene-0221,1
31028,scene-0221,1
31027,scene-0221,1
31026,scene-0221,1
31030,scene-0221,0
31031,scene-0221,0
31032,scene-0221,0
31033,scene-0221,0
31034,scene-0221,0
31035,scene-0221,0
31036,scene-0221,0
31037,scene-0221,0
31041,scene-0221,0
31040,scene-0221,0
31039,scene-0221,0
31038,scene-0221,0
31045,scene-0221,0
31042,scene-0221,0
31044,scene-0221,0
31043,scene-0221,0
31046,scene-0221,0
31047,scene-0221,0
31048,scene-0221,0
31049,scene-0221,0
31050,scene-0221,0
31051,scene-0221,0
31052,scene-0221,0
31055,scene-0221,0
31053,scene-0221,0
31054,scene-0221,0
31056,scene-0221,0
31058,scene-0221,0
31057,scene-0221,0
31059,scene-0221,0
31060,scene-0221,0
31061,scene-0221,0
31062,scene-0221,0
31063,scene-0221,0
31064,scene-0221,0
31065,scene-0221,0
31066,scene-0221,0
31068,scene-0221,0
31067,scene-0221,0
0,scene-0001,0
1,scene-0001,0
2,scene-0001,0
4,scene-0001,0
3,scene-0001,0
5,scene-0001,0
7,scene-0001,0
6,scene-0001,0
8,scene-0001,0
9,scene-0001,0
10,scene-0001,0
11,scene-0001,0
12,scene-0001,0
17,scene-0001,0
15,scene-0001,0
14,scene-0001,0
13,scene-0001,0
16,scene-0001,0
18,scene-0001,0
19,scene-0001,0
20,scene-0001,0
21,scene-0001,0
22,scene-0001,0
23,scene-0001,0
24,scene-0001,0
25,scene-0001,0
26,scene-0001,0
27,scene-0001,0
32,scene-0001,0
33,scene-0001,0
30,scene-0001,0
28,scene-0001,0
29,scene-0001,0
31,scene-0001,0
34,scene-0001,0
35,scene-0001,0
36,scene-0001,0
37,scene-0001,0
38,scene-0001,0
39,scene-0001,0
40,scene-0001,0
41,scene-0001,0
42,scene-0001,0
43,scene-0001,0
48,scene-0001,0
47,scene-0001,0
45,scene-0001,0
44,scene-0001,0
46,scene-0001,0
49,scene-0001,0
50,scene-0001,0
51,scene-0001,0
52,scene-0001,0
53,scene-0001,0
54,scene-0001,0
55,scene-0001,0
56,scene-0001,0
57,scene-0001,0
58,scene-0001,0
60,scene-0001,0
59,scene-0001,0
63,scene-0001,0
61,scene-0001,0
62,scene-0001,0
64,scene-0001,0
66,scene-0001,0
65,scene-0001,0
67,scene-0001,0
68,scene-0001,0
69,scene-0001,0
70,scene-0001,0
71,scene-0001,0
72,scene-0001,0
73,scene-0001,0
74,scene-0001,0
75,scene-0001,0
76,scene-0001,0
80,scene-0001,0
78,scene-0001,0
77,scene-0001,0
79,scene-0001,0
81,scene-0001,0
82,scene-0001,0
83,scene-0001,0
84,scene-0001,0
85,scene-0001,0
86,scene-0001,0
87,scene-0001,0
88,scene-0001,0
89,scene-0001,0
94,scene-0001,0
92,scene-0001,0
91,scene-0001,0
93,scene-0001,0
90,scene-0001,0
97,scene-0001,0
98,scene-0001,0
99,scene-0001,0
95,scene-0001,0
96,scene-0001,0
100,scene-0001,0
101,scene-0001,0
102,scene-0001,0
103,scene-0001,0
104,scene-0001,0
108,scene-0001,0
107,scene-0001,0
105,scene-0001,0
106,scene-0001,0
109,scene-0001,0
110,scene-0001,0
111,scene-0001,0
112,scene-0001,0
113,scene-0001,0
114,scene-0001,0
115,scene-0001,0
116,scene-0001,0
119,scene-0001,0
117,scene-0001,0
120,scene-0001,0
118,scene-0001,0
121,scene-0001,0
122,scene-0001,0
123,scene-0001,0
124,scene-0001,0
127,scene-0001,0
126,scene-0001,0
125,scene-0001,0
128,scene-0001,0
129,scene-0001,0
130,scene-0001,0
133,scene-0001,0
132,scene-0001,0
131,scene-0001,0
135,scene-0001,0
134,scene-0001,0
137,scene-0001,0
136,scene-0001,0
138,scene-0001,0
139,scene-0001,0
140,scene-0001,0
141,scene-0001,0
142,scene-0001,0
143,scene-0001,0
144,scene-0001,0
145,scene-0001,0
146,scene-0001,0
153,scene-0002,0
152,scene-0002,0
147,scene-0002,0
150,scene-0002,0
149,scene-0002,0
148,scene-0002,0
151,scene-0002,0
159,scene-0002,0
157,scene-0002,0
156,scene-0002,0
154,scene-0002,0
155,scene-0002,0
158,scene-0002,0
160,scene-0002,0
161,scene-0002,0
162,scene-0002,0
163,scene-0002,0
164,scene-0002,0
165,scene-0002,0
166,scene-0002,0
167,scene-0002,0
168,scene-0002,0
171,scene-0002,0
170,scene-0002,0
169,scene-0002,0
172,scene-0002,0
173,scene-0002,0
174,scene-0002,0
175,scene-0002,0
176,scene-0002,0
177,scene-0002,0
178,scene-0002,0
179,scene-0002,0
180,scene-0002,0
182,scene-0002,0
181,scene-0002,0
183,scene-0002,0
185,scene-0002,0
190,scene-0002,0
189,scene-0002,0
184,scene-0002,0
187,scene-0002,0
188,scene-0002,0
186,scene-0002,0
193,scene-0002,0
194,scene-0002,0
195,scene-0002,0
196,scene-0002,0
197,scene-0002,0
198,scene-0002,0
191,scene-0002,0
192,scene-0002,0
200,scene-0002,0
201,scene-0002,0
202,scene-0002,0
203,scene-0002,0
204,scene-0002,0
205,scene-0002,0
199,scene-0002,0
210,scene-0002,0
211,scene-0002,0
207,scene-0002,0
208,scene-0002,0
209,scene-0002,0
206,scene-0002,0
213,scene-0002,0
214,scene-0002,0
215,scene-0002,0
216,scene-0002,0
217,scene-0002,0
212,scene-0002,0
222,scene-0002,0
221,scene-0002,0
219,scene-0002,0
218,scene-0002,0
220,scene-0002,0
224,scene-0002,0
225,scene-0002,0
226,scene-0002,0
227,scene-0002,0
223,scene-0002,0
228,scene-0002,0
229,scene-0002,0
230,scene-0002,0
231,scene-0002,0
235,scene-0002,0
232,scene-0002,0
233,scene-0002,0
234,scene-0002,0
236,scene-0002,0
237,scene-0002,0
239,scene-0002,0
238,scene-0002,0
241,scene-0002,0
243,scene-0002,0
242,scene-0002,0
240,scene-0002,0
244,scene-0002,0
246,scene-0002,0
245,scene-0002,0
247,scene-0002,0
248,scene-0002,0
251,scene-0002,0
249,scene-0002,0
250,scene-0002,0
254,scene-0002,0
253,scene-0002,0
252,scene-0002,0
255,scene-0002,0
256,scene-0002,0
257,scene-0002,0
258,scene-0002,0
259,scene-0002,0
260,scene-0002,0
261,scene-0002,0
265,scene-0002,0
262,scene-0002,0
264,scene-0002,0
263,scene-0002,0
266,scene-0002,0
