,scene,brake
43381,scene-0268,0
43380,scene-0268,0
43382,scene-0268,0
43383,scene-0268,0
43385,scene-0268,0
43384,scene-0268,0
43386,scene-0268,0
43387,scene-0268,0
43388,scene-0268,0
43389,scene-0268,0
43391,scene-0268,0
43392,scene-0268,0
43390,scene-0268,0
43393,scene-0268,0
43394,scene-0268,0
43395,scene-0268,0
43396,scene-0268,0
43397,scene-0268,0
43398,scene-0268,0
43399,scene-0268,0
43400,scene-0268,0
43401,scene-0268,0
43402,scene-0268,0
43403,scene-0268,0
43404,scene-0268,2
43405,scene-0268,2
43406,scene-0268,0
43407,scene-0268,0
43408,scene-0268,2
43414,scene-0268,2
43413,scene-0268,2
43412,scene-0268,0
43411,scene-0268,0
43409,scene-0268,2
43410,scene-0268,0
43415,scene-0268,0
43416,scene-0268,0
43417,scene-0268,0
43418,scene-0268,0
43419,scene-0268,0
43420,scene-0268,0
43421,scene-0268,0
43429,scene-0268,0
43428,scene-0268,0
43427,scene-0268,0
43423,scene-0268,0
43425,scene-0268,0
43424,scene-0268,0
43422,scene-0268,0
43426,scene-0268,0
43436,scene-0268,0
43435,scene-0268,0
43432,scene-0268,0
43433,scene-0268,0
43430,scene-0268,0
43434,scene-0268,0
43431,scene-0268,0
43437,scene-0268,0
43438,scene-0268,0
43439,scene-0268,0
43440,scene-0268,0
43441,scene-0268,0
43442,scene-0268,0
43443,scene-0268,0
43451,scene-0268,0
43450,scene-0268,0
43449,scene-0268,0
43445,scene-0268,0
43447,scene-0268,0
43446,scene-0268,0
43444,scene-0268,0
43448,scene-0268,0
43459,scene-0268,0
43460,scene-0268,0
43458,scene-0268,0
43454,scene-0268,0
43456,scene-0268,0
43455,scene-0268,0
43453,scene-0268,0
43452,scene-0268,0
43457,scene-0268,0
43461,scene-0268,0
43462,scene-0268,0
43463,scene-0268,0
43464,scene-0268,0
43465,scene-0268,0
43466,scene-0268,0
43467,scene-0268,0
43468,scene-0268,0
43469,scene-0268,0
43476,scene-0268,0
43474,scene-0268,0
43477,scene-0268,0
43475,scene-0268,0
43470,scene-0268,0
43473,scene-0268,0
43471,scene-0268,0
43472,scene-0268,0
43478,scene-0268,0
43479,scene-0268,0
43480,scene-0268,0
43481,scene-0268,0
43482,scene-0268,0
43483,scene-0268,0
43484,scene-0268,0
43485,scene-0268,0
43486,scene-0268,0
43495,scene-0268,0
43494,scene-0268,0
43493,scene-0268,0
43489,scene-0268,0
43491,scene-0268,0
43490,scene-0268,0
43488,scene-0268,0
43487,scene-0268,0
43492,scene-0268,0
43503,scene-0268,0
43504,scene-0268,0
43502,scene-0268,0
43498,scene-0268,0
43500,scene-0268,0
43501,scene-0268,0
43496,scene-0268,0
43499,scene-0268,0
43497,scene-0268,0
43505,scene-0268,0
43506,scene-0268,0
43507,scene-0268,0
43508,scene-0268,0
43509,scene-0268,0
43511,scene-0268,0
43512,scene-0268,0
43513,scene-0268,0
43510,scene-0268,0
43520,scene-0268,0
43522,scene-0268,0
43521,scene-0268,0
43519,scene-0268,0
43517,scene-0268,0
43516,scene-0268,0
43515,scene-0268,0
43518,scene-0268,0
43514,scene-0268,0
43523,scene-0268,0
43524,scene-0268,0
43525,scene-0268,0
43526,scene-0268,0
43527,scene-0268,0
43528,scene-0268,0
43529,scene-0268,0
43530,scene-0268,0
43538,scene-0268,0
43537,scene-0268,0
43536,scene-0268,3
43531,scene-0268,0
43534,scene-0268,0
43533,scene-0268,0
43532,scene-0268,0
43535,scene-0268,0
43546,scene-0268,3
43545,scene-0268,3
43544,scene-0268,3
43541,scene-0268,3
43542,scene-0268,3
43540,scene-0268,3
43543,scene-0268,5
43539,scene-0268,3
43547,scene-0268,5
43548,scene-0268,10
43549,scene-0268,5
43550,scene-0268,5
43551,scene-0268,5
43552,scene-0268,5
43553,scene-0268,5
43560,scene-0268,10
43559,scene-0268,10
43554,scene-0268,10
43557,scene-0268,11
43556,scene-0268,10
43555,scene-0268,10
43558,scene-0268,10
43566,scene-0268,11
43567,scene-0268,6
43563,scene-0268,11
43564,scene-0268,11
43565,scene-0268,11
43561,scene-0268,11
43562,scene-0268,11
43572,scene-0268,6
43568,scene-0268,4
43570,scene-0268,6
43569,scene-0268,6
43571,scene-0268,6
43575,scene-0268,4
43576,scene-0268,4
43577,scene-0268,4
43573,scene-0268,4
43574,scene-0268,1
43578,scene-0268,1
