,scene,timestamp,utime,inst_token,ann_token,distance,throttle,ego_speed,brake,future_throttle,future_brake
0,scene-0061,1532402927647951,1532402928127800,vehicle_info,ca9a282c9e77460f8360f564131a8af5,-1.0,0,31.44,0,0,0
1,scene-0061,1532402927647951,1532402928127800,a60047adc78a4b6895702e86b6d2fe88,b7cbc6d0e80e4dfda7164871ece6cb71,47.211,0,31.44,0,0,0
2,scene-0061,1532402927647951,1532402928127800,e3c5b72c12c34c85aac247734ad83bef,91cb8f15ed4444e99470d43515e50c1d,72.006,0,31.44,0,0,0
3,scene-0061,1532402927647951,1532402928127800,42641eb6adcb4f8f8def8ef129d9e843,a6f7d4bb60374f868144c5ba4431bf4c,72.259,0,31.44,0,0,0
4,scene-0061,1532402927647951,1532402928127800,85246a44cc6340509e3882e2ff088391,cda0a9085607438c9b1ea87f4360dd64,41.419,0,31.44,0,0,0
5,scene-0061,1532402927647951,1532402928127800,c1958768d48640948f6053d04cffd35b,49f76277d07541c5a584aa14c9d28754,39.038,0,31.44,0,0,0
6,scene-0061,1532402927647951,1532402928127800,56a71c208ac6472f90b6a82529a6ce61,74986f1604f047b6925d409915265bf7,79.101,0,31.44,0,0,0
7,scene-0061,1532402927647951,1532402928127800,e91afa15647c4c4994f19aeb302c7179,83d881a6b3d94ef3a3bc3b585cc514f8,16.921,0,31.44,0,0,0
8,scene-0061,1532402927647951,1532402928127800,bc38961ca0ac4b14ab90e547ba79fbb6,16140fbf143d4e26a4a7613cbd3aa0e8,36.45,0,31.44,0,0,0
9,scene-0061,1532402927647951,1532402928127800,f4b2632a2f9947da9f7959a3bd0e322c,36d52dfedd764b27863375543c965376,64.502,0,31.44,0,0,0
10,scene-0061,1532402927647951,1532402928127800,bd26c2cdb22d4bb1834e808c89128898,924ee6ac1fed440a9d9e3720aac635a0,75.256,0,31.44,0,0,0
11,scene-0061,1532402927647951,1532402928127800,4080c30aa7104d91ad005a50b18f6108,26fb370c13f844de9d1830f6176ebab6,81.25,0,31.44,0,0,0
